연령군,성별,연령구간,항목코드,항목,n,p5,p10,p25,p50,p75,p90,p95,평균,표준편차
어르신,M,65~69,item_f026,3m표적돌아오기,2848,3.98,4.18,4.54,5.02,5.69,6.4,6.95,5.21,1.02
어르신,M,70~74,item_f026,3m표적돌아오기,2396,4.16,4.4,4.9,5.43,6.22,7.17,7.86,5.7,1.33
어르신,M,75~79,item_f026,3m표적돌아오기,1805,4.43,4.74,5.23,5.91,6.91,8.15,9.12,6.29,1.71
어르신,M,80+,item_f026,3m표적돌아오기,1033,4.89,5.13,5.78,6.8,8.3,10.2,11.77,7.35,2.3
어르신,M,65~69,item_f024,6분걷기,91,0.0,0.0,544.75,625.0,675.0,720.0,730.5,542.28,232.58
어르신,M,70~74,item_f024,6분걷기,64,43.65,423.5,518.75,615.0,658.5,688.5,699.1,560.63,170.68
어르신,M,75~79,item_f024,6분걷기,30,0.0,0.0,471.25,577.5,637.5,675.5,682.75,489.1,236.29
어르신,M,65~69,item_f027,8자보행,2895,15.81,16.91,18.55,20.7,23.57,26.96,28.96,21.39,4.46
어르신,M,70~74,item_f027,8자보행,2419,17.16,18.21,20.28,22.8,26.06,30.02,32.8,23.66,5.53
어르신,M,75~79,item_f027,8자보행,1811,18.5,19.8,21.93,24.97,29.32,33.96,38.52,26.26,6.85
어르신,M,80+,item_f027,8자보행,1034,20.41,21.55,24.79,29.0,34.58,41.45,48.14,30.7,8.87
어르신,M,65~69,item_f018,BMI,2898,20.0,21.1,22.82,24.5,26.3,28.0,29.2,24.55,2.73
어르신,M,70~74,item_f018,BMI,2438,20.3,21.1,22.8,24.4,26.3,27.9,29.1,24.54,2.79
어르신,M,75~79,item_f018,BMI,1843,19.6,20.5,22.4,24.2,26.1,27.7,28.8,24.24,2.82
어르신,M,80+,item_f018,BMI,1058,19.2,20.2,21.8,23.7,25.6,27.3,28.31,23.73,2.9
어르신,M,65~69,item_f028,상대악력,2907,40.3,44.56,49.6,55.2,61.3,67.2,70.7,55.46,9.19
어르신,M,70~74,item_f028,상대악력,2441,37.9,41.1,46.5,52.6,58.9,65.1,68.8,52.8,9.41
어르신,M,75~79,item_f028,상대악력,1843,34.71,37.8,43.7,50.1,55.75,61.4,65.1,49.81,9.31
어르신,M,80+,item_f028,상대악력,1058,28.68,33.07,39.1,46.15,52.8,59.6,62.7,46.08,10.18
